Posição,N° Arquivo,Título,Tipo,Módulo,Cor do Módulo,Arquivo Descrição,Arquivo Transcrição,Posição Verificada
1,01,Introdução à metodologia do projeto,Aula,A verificar,A verificar,aula-01-introducao-a-metodologia-do-projeto.md,transcricoes/aula-01-1-introducao-a-metodologia-do-projeto-v3-v2-240p.txt,—
2,02,A depressão e os degraus,Aula,A verificar,A verificar,aula-02-a-depressao-e-os-degraus.md,transcricoes/aula-02-2-a-depressao-e-os-degraus-v1-240p.txt,—
3,03,Um brief do briefing,Aula,A verificar,A verificar,aula-03-um-brief-do-briefing.md,transcricoes/aula-03-3-um-brief-do-briefing-240p.txt,—
4,—,Escolha seu briefing,Exercício,A verificar,A verificar,—,transcricoes/exercicio Escolha seu briefing.txt,Confirmado — exercício diz: "utilizando a estrutura que ensinamos" → vem após aula de briefing (aula-03)
5,04,Gerenciamento de projetos avançados,Aula,A verificar,A verificar,aula-04-gerenciamento-de-projetos-avancados.md,transcricoes/aula-04-4-gerenciamento-de-projetos-avancados-240p.txt,—
6,05,Auditoria de mercado,Aula,A verificar,A verificar,aula-05-auditoria-de-mercado.md,transcricoes/aula-05-5-auditoria-de-mercado-240p.txt,—
7,—,Elabore a auditoria de mercado,Exercício,A verificar,A verificar,—,transcricoes/exercicio Elabore a auditoria do mercado.txt,Confirmado — exercício segue a aula de auditoria de mercado (aula-05)
8,06,Auditoria do negócio,Aula,A verificar,A verificar,aula-06-auditoria-do-negocio.md,transcricoes/aula-06-6-auditoria-do-negocio-240p.txt,—
9,—,Elabore a auditoria do negócio,Exercício,A verificar,A verificar,—,transcricoes/exercicio Elabore a auditoria do negócio.txt,Confirmado — exercício exige construção do BMC ensinado na aula-06; vem após auditoria do negócio
10,07,Auditoria de público,Aula,A verificar,A verificar,aula-07-auditoria-de-publico.md,transcricoes/aula-07-7-auditoria-de-publico-240p.txt,—
11,—,Elabore a auditoria do público,Exercício,A verificar,A verificar,—,transcricoes/exercicio Elabore a auditoria do público.txt,Confirmado — exercício diz: "Revise o briefing já preparado" → pressupõe trabalho anterior; vem após aula-07
12,08,Benchmark de comunicação,Aula,A verificar,A verificar,aula-08-benchmark-de-comunicacao.md,transcricoes/aula-08-8-benchmark-de-comunicacao-240p.txt,—
13,—,Elabore o benchmarking,Exercício,A verificar,A verificar,—,transcricoes/Exercicio elabore o benchmarking.txt,Confirmado — exercício pressupõe conhecimento de benchmark ensinado na aula-08; vem após aula-08
14,09,Considerações finais sobre investigação,Aula,A verificar,A verificar,aula-09-consideracoes-finais-investigacao.md,transcricoes/aula-09-9-consideracoes-finais-investigacao-v1-240p.txt,—
