TRILHA ARQUIVO LEGADO — SEQUÊNCIA COMPLETA,,,,,,,,
,,,,,,,
Posição,N° Arquivo,Título,Tipo,Módulo,Cor do Módulo,Arquivo Descrição,Arquivo Transcrição,Posição Verificada
1,01,Objetivo e Filosofia do Curso,Aula,Introdução,—,aula-01-objetivo-e-filosofia-do-curso.md,transcricoes/aula-01-aula01-objetivo-e-filosofia-do-curso-v1-240p.txt,—
2,02,Persona: Visão Geral do Módulo,Aula,Persona,Azul,aula-02-persona-visao-geral-do-modulo.md,transcricoes/aula-02-aula02-persona-visao-geral-do-modulo-v2-240p.txt,—
3,03,O Processo de Autoconhecimento,Aula,Persona,Azul,aula-03-o-processo-de-autoconhecimento.md,transcricoes/aula-03-aula05-o-processo-de-autoconhecimento-v1-240p.txt,—
4,04,Espelho Espelho Meu,Aula + Exercício,Persona,Azul,aula-04-exercicio-espelho-espelho-meu.md,transcricoes/aula-04-aula6-exercicio-espelho-espelho-meu-v1-240p.txt,—
5,05,Construindo a Sua Imagem Pessoal,Aula,Persona,Azul,aula-05-construindo-a-sua-imagem-pessoal.md,transcricoes/aula-05-aula07-construindo-a-sua-imagem-pessoal-v1-240p.txt,—
6,06,Associação Visual,Aula + Exercício,Persona,Azul,aula-06-associacao-visual.md,transcricoes/aula-06-aula08-associacao-visual-240p.txt,—
7,07,Gerenciando os Ativos da Marca,Aula,Persona,Azul,aula-07-gerenciando-os-ativos-da-sua-marca-pessoal.md,transcricoes/aula-07-aula09-gerenciando-os-ativos-da-sua-marca-pessoal-v1-240p.txt,—
8,08,A Personalidade Atraente,Aula,Persona,Azul,aula-08-a-personalidade-atraente.md,transcricoes/aula-08-aula10-a-personalidade-atraente-v2-240p.txt,—
9,09,Demanda: Visão Geral do Módulo,Aula,Demanda,Laranja,aula-09-demanda-visao-geral-do-modulo.md,transcricoes/aula-09-aula03-demanda-visao-geral-do-modulo-v2-240p.txt,—
